id,text1,text2
ZH-000435-TRAP-SAME,“占中十子”之一徐少骅退出称未受任何威胁(图),“占中十子”之一徐少骅退出称未受任何威胁(图)
ZH-000464-TRAP-SAME,网论：m2破百万亿提醒经济增长不能过度依赖投资,网论：m2破百万亿提醒经济增长不能过度依赖投资
ZH-000109-TRAP-SAME,报告：我国老龄化形势更严峻部分人或因老致贫,报告：我国老龄化形势更严峻部分人或因老致贫
ZH-000227-TRAP-SAME,“废墟涂鸦”成“两会”话题也是一种进步,“废墟涂鸦”成“两会”话题也是一种进步
ZH-000273-TRAP-SAME,纳斯达克港交所抢客争夺阿里巴巴千亿上市,纳斯达克港交所抢客争夺阿里巴巴千亿上市
ZH-000275-TRAP-SAME,罗永浩王自如癫疯对决全过程在此苹果赢了！,罗永浩王自如癫疯对决全过程在此苹果赢了！
ZH-000102-TRAP-SAME,福布斯全球企业2000强：中国“三大行”包揽前三,福布斯全球企业2000强：中国“三大行”包揽前三
ZH-000386-TRAP-SAME,稳定住房消费促楼市软着陆2009年暴涨不会再现,稳定住房消费促楼市软着陆2009年暴涨不会再现
ZH-000596-TRAP-SAME,传言新华保险外资股东抛售神秘资金入场拉涨停,传言新华保险外资股东抛售神秘资金入场拉涨停
ZH-000193-TRAP-SAME,李纪恒任云南省委书记直面反腐、经济双重挑战,李纪恒任云南省委书记直面反腐、经济双重挑战
ZH-000171-TRAP-SAME,融资与诉讼：快的完成近8亿美元d轮融资,融资与诉讼：快的完成近8亿美元d轮融资
ZH-000042-TRAP-SAME,美银认缴166.5亿美元天价罚单,美银认缴166.5亿美元天价罚单
ZH-000116-TRAP-SAME,铁总涨薪将新增成本72亿涨了4次员工仍抱怨,铁总涨薪将新增成本72亿涨了4次员工仍抱怨
ZH-000159-TRAP-SAME,上海学车破万外地驾校抢滩违规经营暗藏风险,上海学车破万外地驾校抢滩违规经营暗藏风险
ZH-000083-TRAP-SAME,朝鲜战争爆发前朝韩军力：朝鲜重火力具有压倒性优势,朝鲜战争爆发前朝韩军力：朝鲜重火力具有压倒性优势
ZH-000282-TRAP-SAME,朝鲜迎来“太阳节”半岛局势依旧扑朔迷离,朝鲜迎来“太阳节”半岛局势依旧扑朔迷离
ZH-000371-TRAP-SAME,世卫组织矛头指向洋快餐1个炸鸡腿赛60支香烟,世卫组织矛头指向洋快餐1个炸鸡腿赛60支香烟
ZH-000691-TRAP-SAME,ugc社区的尴尬：如何让信息回归“真面目”？,ugc社区的尴尬：如何让信息回归“真面目”？
ZH-000368-TRAP-SAME,芙蓉姐姐：“这十年，有了名声，也丢了名声”,芙蓉姐姐：“这十年，有了名声，也丢了名声”
ZH-000144-TRAP-SAME,wifi、ceo等“零翻译”伤害汉语纯洁性,wifi、ceo等“零翻译”伤害汉语纯洁性
ZH-000108-TRAP-SAME,剖析：2013正知书院传播创新峰会的9条干货,剖析：2013正知书院传播创新峰会的9条干货
ZH-000499-TRAP-SAME,当投资人对你说no时，你要怎么做,当投资人对你说no时，你要怎么做
ZH-000414-TRAP-SAME,南京地铁3号线年底通车4号线明年底前就能开通,南京地铁3号线年底通车4号线明年底前就能开通
ZH-000347-TRAP-SAME,钱砸股市10年没赚上班族叹在中国房子最靠谱,钱砸股市10年没赚上班族叹在中国房子最靠谱
ZH-000099-TRAP-SAME,从美国政府关门看出什么？,从美国政府关门看出什么？
ZH-000263-TRAP-SAME,老虎打多了经济高增长会受影响么？,老虎打多了经济高增长会受影响么？
ZH-000174-TRAP-SAME,包头成国内首个实现分质供水的百万人口城市,包头成国内首个实现分质供水的百万人口城市
ZH-000173-TRAP-SAME,懒人的福音：大众推出能“自主学习”的自动泊车系统,懒人的福音：大众推出能“自主学习”的自动泊车系统
ZH-000405-TRAP-SAME,上半年券商报告超7成不准看报告不如掷骰子,上半年券商报告超7成不准看报告不如掷骰子
ZH-000150-TRAP-SAME,网论：“速生鸡”是否对人体有害应有权威结论,网论：“速生鸡”是否对人体有害应有权威结论
ZH-000523_000416-TRAP-DIFFERENT,国平：整治网络乱象打造管理铁军,张悟本脑梗住院：“梗了吃绿豆不管用”
ZH-000206_000396-TRAP-DIFFERENT,狭隘民族主义可能会阻碍中国发展,中国球迷看世界杯要花多少钱：土豪版账单40万
ZH-000303_000705-TRAP-DIFFERENT,中非“老友记”是怎样诞生的？,从“上海阿婆追还19年欠债”说起
ZH-000138_000688-TRAP-DIFFERENT,和胖子一起吃饭的风险：容易多吃不健康食品,yy音乐告诉你，如何利用虚荣心让用户乖乖掏钱
ZH-000362_000514-TRAP-DIFFERENT,叶剑英提邓小平复出工作华国锋汪东兴未反对,决不能吃党的饭砸党的锅
ZH-000490_000428-TRAP-DIFFERENT,串串又香昆明城以平民化、更时尚的姿态再掀热潮,儿童医院眼科四成患儿治近视
ZH-000335_000574-TRAP-DIFFERENT,盘点2013年全国百城房价一线城市房价涨幅明显,真相80分47期：“大师”王林的敛金术
ZH-000537_000319-TRAP-DIFFERENT,陈淮:住房公积金制度需要改进和创新,广东8月起“72小时过境免签”利好航空旅游板块
ZH-000507_000251-TRAP-DIFFERENT,如何从企业中的所有人那里获得创新灵感,回复陌生短信“你是？”银行卡被盗刷12次
ZH-000394_000547-TRAP-DIFFERENT,多家在华日企放假两天称目前不考虑撤资,女性内衣简史：一个从有到无的过程
ZH-000659_000434-TRAP-DIFFERENT,自媒体黑色的2014,"美食节""羊肉串""难有羊肉真羊肉5元1串才能保本"
ZH-000507_000148-TRAP-DIFFERENT,如何从企业中的所有人那里获得创新灵感,"13号线28日新开3站2换乘站""盘活""出行"
ZH-000018_000492-TRAP-DIFFERENT,史上最贵微博：陈欧一条微博给聚美恢复10亿市值,那些被3.15曝光的科技公司，你们现在还好吗？
ZH-000560_000614-TRAP-DIFFERENT,保定楼市疯狂：千余看房者涌入赚五万就转手,台媒：陈德铭昨日结束访台未见马英九
ZH-000058_000157-TRAP-DIFFERENT,心情不好可不上班宁波一企业实行情绪管理,吉祥备降航班查出违禁品快件申通货代资格被注销
ZH-000207_000313-TRAP-DIFFERENT,女白领半路猝死疑因熬夜多引发心肌炎,稳定住房消费促楼市软着陆2009年暴涨不会再现
ZH-000468_000720-TRAP-DIFFERENT,一次卷2000万巨款11嫌犯被押解回沪,hm等洋品牌服装甲醛含量超标多次检测不合格
ZH-000524_000134-TRAP-DIFFERENT,中国周边战略新构建,男子6岁时称要娶邻家女孩两人18年后相逢便结婚
ZH-000662_000488-TRAP-DIFFERENT,"三星""太子""会苹果ceo:平板亮了",《被解救的姜戈》4月内地上映昆汀电影首次被引进
ZH-000051_000309-TRAP-DIFFERENT,发改委企业债链条打黑：上百人名单逐个排查,穗停车费调整一类地区涨到16元/小时
ZH-000348_000278-TRAP-DIFFERENT,亚运城的过去、现在与未来全民炒房时代或终结,中国平安染指中超联赛冠名消息或月底公布
ZH-000442_000610-TRAP-DIFFERENT,外媒：阿里巴巴ipo意味着中国形象的转变,古永锵再摊大饼独立视频濒临“灭绝”
ZH-000515_000051-TRAP-DIFFERENT,滞留缅甸的远征军老兵归来：历史隐痛和现实欣慰,发改委企业债链条打黑：上百人名单逐个排查
ZH-000474_000613-TRAP-DIFFERENT,新能源车发展亟须破解五大难题,关于在中小学幼儿园广泛深入开展节约教育的意见
ZH-000390_000498-TRAP-DIFFERENT,韩国整容一条街全力接待中国顾客公休日无休,女性的网络购物规律解读
ZH-000543_000079-TRAP-DIFFERENT,互联网巨头搅局在线教育成新蓝海,用毛主席语录当手纸知青被打成反革命引血案
ZH-000125_000670-TRAP-DIFFERENT,女幼师怀孕请假调养遭辞退幼儿园称为她好,“跑马”路上的中国阿甘
ZH-000716_000599-TRAP-DIFFERENT,业内人说：诺基亚和黑莓由盛到衰，是否能冬去春来,贵州茅台最后撤离者：306家机构背负的资本裂纹
ZH-000107_000508-TRAP-DIFFERENT,网售处方药或解禁引争论：极可能成售假温床,2014年十大现象级电视综艺节目
ZH-000558_000135-TRAP-DIFFERENT,河南“饼干大王”朱东海失联农发行累计贷款近3亿,新疆春运“枣”送惊喜
