id,text1,text2
RU-67-TRAP-SAME,"действительно: вдоль маленькой дорожки между домом и садиком растет целый ряд сиреневых кустов.
на соколе 80-летняя женщина устроила большой цветник рядом с домом",на соколе 80-летняя женщина устроила большой цветник рядом с домом
RU-368-TRAP-SAME,"в первом полугодии этого года падение составило -3,9% по сравнению с аналогичным периодом прошлого года.
аналитики зафиксировали падение продаж лекарств впервые с кризиса 2008 года",аналитики зафиксировали падение продаж лекарств впервые с кризиса 2008 года
RU-203-TRAP-SAME,"страна огромная.
в минкульте не знают, как реагировать на его резкие заявления","в минкульте не знают, как реагировать на его резкие заявления"
RU-134-TRAP-SAME,"это сократит цикл сделки в несколько раз.
во втором полугодии вступают в силу сразу несколько важных законов, которые могут вновь ударить по кошельку россиян","во втором полугодии вступают в силу сразу несколько важных законов, которые могут вновь ударить по кошельку россиян"
RU-201-TRAP-SAME,"15% — участки, где нет древесины достойного качества.
между нелегальной вырубкой древесины и стихийными бедствиями существует прямая связь",между нелегальной вырубкой древесины и стихийными бедствиями существует прямая связь
RU-246-TRAP-SAME,"помимо этого человек, идущий в лес, должен понимать, что его там ждет, знать, что такое красная книга.
«человек, идущий в лес, должен знать, что такое красная книга»","«человек, идущий в лес, должен знать, что такое красная книга»"
RU-382-TRAP-SAME,"вы же знаете, что он терпеть не может больницы и первый вопрос, который он мне задал: «долго меня здесь будут держать?»
первый вопрос режиссера в больнице: «долго меня здесь будут держать?»",первый вопрос режиссера в больнице: «долго меня здесь будут держать?»
RU-93-TRAP-SAME,"смирнов от нее в восторге, с упоением рассказывает о ее лице, шее, немыслимой красоты плечах.
андрей смирнов снял фильм «француз» о событиях 1957 года после восьмилетнего молчания в кино",андрей смирнов снял фильм «француз» о событиях 1957 года после восьмилетнего молчания в кино
RU-223-TRAP-SAME,"иначе как вы себе это представляете?
вопрос о ее существовании как минимум не удается снять с повестки дня",вопрос о ее существовании как минимум не удается снять с повестки дня
RU-691-TRAP-SAME,"а знают ли мамы и папы, которые оказались в трудной жизненной ситуации, что им полагается адресная социальная помощь продуктами и детскими товарами?
далеко не все семьи знают, что им положено по закону","далеко не все семьи знают, что им положено по закону"
RU-174-TRAP-SAME,"у зелихи магомадовой пять дочерей и сын, которых отобрали после гибели мужа, мальчик был еще младенцем.
женщины, у которых отобрали детей, в отчаянии обратились к новому главе ингушетии","женщины, у которых отобрали детей, в отчаянии обратились к новому главе ингушетии"
RU-411-TRAP-SAME,"у вас намешан совершенно безумный микс в песнях.
shortparis заказали в гримерку икону, а little big укрепили семейный шоу-бизнес","shortparis заказали в гримерку икону, а little big укрепили семейный шоу-бизнес"
RU-124-TRAP-SAME,"некоторые экземпляры на форуме представлены впервые.
65 подмосковных предприятий оборонно-промышленного комплекса представляют свою продукцию на форуме «армия-2019»",65 подмосковных предприятий оборонно-промышленного комплекса представляют свою продукцию на форуме «армия-2019»
RU-117-TRAP-SAME,"хотелось, конечно, построить свой дом в черте города, потому что петр плохо переносит дорогу, особенно летом.
""обрадовались, что наконец-то смогут построить дом для своей большой семьи, но что-то пошло не так""","""обрадовались, что наконец-то смогут построить дом для своей большой семьи, но что-то пошло не так"""
