id,text1,text2
TR-1271-SYSTEM-REFERENCE-PG,"süleyman süleyman şimşek ’ te , serinlemek için tekrar suya girdi .
i̇ki kardeşin boğularak hayatını kaybetmesi yazıkent mahallesi'ni yasa boğdu .
olayla ilgili soruşturma devam ediyor .
olay yerine gelen 112 acil sağlık ekipleri kamil şimşek ’ in olay yerinde hayatını kaybettiğini belirledi .
","aydın’ın bozdoğan ilçesinde, su birikintisinde koyunları yıkadıktan sonra serinlemek için suya giren abisini kurtarmak isteyen kişi, abisi ile birlikte boğularak hayatını kaybetti."
TR-1271-REFERENCE-SYSTEM-PG,"aydın’ın bozdoğan ilçesinde, su birikintisinde koyunları yıkadıktan sonra serinlemek için suya giren abisini kurtarmak isteyen kişi, abisi ile birlikte boğularak hayatını kaybetti.","süleyman süleyman şimşek ’ te , serinlemek için tekrar suya girdi .
i̇ki kardeşin boğularak hayatını kaybetmesi yazıkent mahallesi'ni yasa boğdu .
olayla ilgili soruşturma devam ediyor .
olay yerine gelen 112 acil sağlık ekipleri kamil şimşek ’ in olay yerinde hayatını kaybettiğini belirledi .
"
TR-1271-SYSTEM-REFERENCE-BERT,"muğla [unk] nın bozdoğan ilçesinde , su bendinin arkasında bulunan gölette koyunları yıkamak için suya girdi .
","aydın’ın bozdoğan ilçesinde, su birikintisinde koyunları yıkadıktan sonra serinlemek için suya giren abisini kurtarmak isteyen kişi, abisi ile birlikte boğularak hayatını kaybetti."
TR-1271-REFERENCE-SYSTEM-BERT,"aydın’ın bozdoğan ilçesinde, su birikintisinde koyunları yıkadıktan sonra serinlemek için suya giren abisini kurtarmak isteyen kişi, abisi ile birlikte boğularak hayatını kaybetti.","muğla [unk] nın bozdoğan ilçesinde , su bendinin arkasında bulunan gölette koyunları yıkamak için suya girdi .
"
TR-4492-SYSTEM-REFERENCE-PG,"transfer döneminin bitmesine günler kala galatasaray'da forvet mesaisi dört koldan sürüyor .
kolombiyalı golcü falcao ile anlaşan ve monaco'yu da ikna etme aşamasına getiren aslan , bugün mutlu haberi verecek .
falcao sonunda izin aldı .
","galatasaray, dün hem monaco ile hem de falcao ile bir kez daha görüştü.
pazarlık gece boyunca devam etti.
falcao'da sorun yok.
para isteyen monaco geri adım atmadı.
bugün imzalar atılacak"
TR-4492-REFERENCE-SYSTEM-PG,"galatasaray, dün hem monaco ile hem de falcao ile bir kez daha görüştü.
pazarlık gece boyunca devam etti.
falcao'da sorun yok.
para isteyen monaco geri adım atmadı.
bugün imzalar atılacak","transfer döneminin bitmesine günler kala galatasaray'da forvet mesaisi dört koldan sürüyor .
kolombiyalı golcü falcao ile anlaşan ve monaco'yu da ikna etme aşamasına getiren aslan , bugün mutlu haberi verecek .
falcao sonunda izin aldı .
"
TR-4492-SYSTEM-REFERENCE-BERT,"transfer döneminin bitmesine sayılı günler kala galatasaray ' da forvet mesaisi dört koldan sürüyor .
","galatasaray, dün hem monaco ile hem de falcao ile bir kez daha görüştü.
pazarlık gece boyunca devam etti.
falcao'da sorun yok.
para isteyen monaco geri adım atmadı.
bugün imzalar atılacak"
TR-4492-REFERENCE-SYSTEM-BERT,"galatasaray, dün hem monaco ile hem de falcao ile bir kez daha görüştü.
pazarlık gece boyunca devam etti.
falcao'da sorun yok.
para isteyen monaco geri adım atmadı.
bugün imzalar atılacak","transfer döneminin bitmesine sayılı günler kala galatasaray ' da forvet mesaisi dört koldan sürüyor .
"
TR-728-SYSTEM-REFERENCE-PG,"<unk> dulkadiroğlu ilçesi baydemirli mahallesinde yapılan araştırma gezisinde 35 milyon yıl öncesine ait olduğu düşünülen fosiller bulundu .
<unk> bulunan deniz canlısı fosilleriyle ilgili olarak bölgede rastlanıldığı duyumunu üzerine harekete geçen platform ekibi , uzmanlarla ve taşlar üzerinde olduğu tespit edildi .
","kahramanmaraş'ta araştırma için yola çıkan kültür ve turizm platformu ekibi, yaptıkları gezide 35 milyon yıllık olduğu düşünülen fosillere ulaştı."
TR-728-REFERENCE-SYSTEM-PG,"kahramanmaraş'ta araştırma için yola çıkan kültür ve turizm platformu ekibi, yaptıkları gezide 35 milyon yıllık olduğu düşünülen fosillere ulaştı.","<unk> dulkadiroğlu ilçesi baydemirli mahallesinde yapılan araştırma gezisinde 35 milyon yıl öncesine ait olduğu düşünülen fosiller bulundu .
<unk> bulunan deniz canlısı fosilleriyle ilgili olarak bölgede rastlanıldığı duyumunu üzerine harekete geçen platform ekibi , uzmanlarla ve taşlar üzerinde olduğu tespit edildi .
"
