id,text1,text2
ID-15513-TRAP-SAME,"di dalam tasnya terdapat 1 , 5 kilogram heroin yang dibungkus dalam tiga kemasan , seharga lebih dari rp 1 miliar .
seorang pria asal pakistan , muhammad abdul hafiz , ditangkap karena membawa heroin 1 , 5 kilogram .
hafiz menyembunyikan heroin tersebut di dalam tas pakaian yang dibawanya .
","seorang pria asal pakistan , muhammad abdul hafiz , ditangkap karena membawa heroin 1 , 5 kilogram .
hafiz menyembunyikan heroin tersebut di dalam tas pakaian yang dibawanya .
"
ID-25812-TRAP-SAME,"kasus kelangkaan minyak tanah di palembang bukan cerita baru .
kasus kelangkaan minyak tanah kembali terjadi di palembang , sumsel .
pertamina setempat menduga ada aksi penimbunan menjelang kenaikan harga bbm pada 1 januari mendatang .
","kasus kelangkaan minyak tanah kembali terjadi di palembang , sumsel .
pertamina setempat menduga ada aksi penimbunan menjelang kenaikan harga bbm pada 1 januari mendatang .
"
ID-24993-TRAP-SAME,"pertemuan itu bertujuan untuk menagih tunggakan pajak pt timor putra nasional yang mencapai rp 3 , 2 triliun [ baca : aset pt timor putra nasional mulai dieksekusi ] .
luhut b .
panjaitan mengaku bertemu dengan tommy soeharto november 2000 .
pertemuan itu bertujuan menagih tunggakan pajak pt timor yang mencapai rp 3 , 2 triliun .
","luhut b .
panjaitan mengaku bertemu dengan tommy soeharto november 2000 .
pertemuan itu bertujuan menagih tunggakan pajak pt timor yang mencapai rp 3 , 2 triliun .
"
ID-25329-TRAP-SAME,"menanggapi keluhan kenaikan tuslah itu , para agen mengaku hanya mengikuti ketentuan tuslah versi organisasi gabungan angkutan darat setempat sebesar 25 hingga 30 persen .
harga tiket di terminal umbulhardjo , yogyakarta , naik hingga mencapai 25 persen .
awak bus memilih mengikuti tuslah versi organda setempat .
","harga tiket di terminal umbulhardjo , yogyakarta , naik hingga mencapai 25 persen .
awak bus memilih mengikuti tuslah versi organda setempat .
"
ID-20241-TRAP-SAME,"sahetapy menyambut baik usulan yang dapat menjadi tahap awal yang ampuh untuk segera menuntaskan kasus solusi , korupsi , dan nepotisme .
sejumlah lsm mengusulkan pembentukan peradilan khusus untuk mengadili kasus-kasus korupsi .
dpr menyambut baik usulan yang dapat menjadi tahap awal untuk segera menuntaskan kasus kkn .
","sejumlah lsm mengusulkan pembentukan peradilan khusus untuk mengadili kasus-kasus korupsi .
dpr menyambut baik usulan yang dapat menjadi tahap awal untuk segera menuntaskan kasus kkn .
"
ID-21054-TRAP-SAME,"sebab hakim dibenarkan untuk membuat keputusan di luar aspek pertimbangan hukum .
mahkamah agung diminta mengungkapkan landasan hukum keputusan peninjauan kembali perkara tommy soeharto .
komisi ii dpr berencana duduk bersama ma untuk membicarakan masalah itu .
","mahkamah agung diminta mengungkapkan landasan hukum keputusan peninjauan kembali perkara tommy soeharto .
komisi ii dpr berencana duduk bersama ma untuk membicarakan masalah itu .
"
ID-23091-TRAP-SAME,"selain itu , para pengunjuk rasa yang berasal dari berbagai organisasi kemasyarakatan islam tersebut juga mengajak warga semarang memerangi kemungkaran menjelang bulan suci ramadhan .
front masyarakat antiperjudian semarang , jateng , menggelar unjuk rasa di depan markas polda jateng .
mereka mengimbau warga semarang memerangi kemungkaran menjelang ramadhan .
","front masyarakat antiperjudian semarang , jateng , menggelar unjuk rasa di depan markas polda jateng .
mereka mengimbau warga semarang memerangi kemungkaran menjelang ramadhan .
"
ID-23137-TRAP-SAME,"saat melewati lintasan ka di kampung kebaharan , dukuh , serang , tiba-tiba muncul ka bernomor lokomotif bb 30422 dari stasiun serang menuju cigading .
rangkaian ka barang bernomor lokomotif bb 30422 menabrak bus hiba utama sarat penumpang .
bus naas itu sempat terlempar lima meter sebelum akhirnya terbalik .
20 orang tewas dalam kasus itu .
","rangkaian ka barang bernomor lokomotif bb 30422 menabrak bus hiba utama sarat penumpang .
bus naas itu sempat terlempar lima meter sebelum akhirnya terbalik .
20 orang tewas dalam kasus itu .
"
ID-14074-TRAP-SAME,"sementara itu , kurniawati pun mengaku bahwa dirinya mendapat perlakuan kasar selama penyekapan berlangsung .
seorang wanita yang melakukan penyekapan terhadap tukang kain ditangkap .
kepada polisi , ia mengaku bahwa tindakannya dilatarbelakangi ulah korban yang tak melunasi utangnya .
","seorang wanita yang melakukan penyekapan terhadap tukang kain ditangkap .
kepada polisi , ia mengaku bahwa tindakannya dilatarbelakangi ulah korban yang tak melunasi utangnya .
"
ID-21608-TRAP-SAME,""" cuma menempelkan pamflet , kok , "" ujar wahyu .
"" penyegelan "" dan perusakan sejumlah restoran mcdonald , dinilai bambang rachmadi , pemilik restoran tersebut , salah sasaran .
polda yogya bakal menjaga seluruh restoran asing di wilayahnya .
",""" penyegelan "" dan perusakan sejumlah restoran mcdonald , dinilai bambang rachmadi , pemilik restoran tersebut , salah sasaran .
polda yogya bakal menjaga seluruh restoran asing di wilayahnya .
"
