id,text1,text2
ZH-000566-SYSTEM-REFERENCE-PG,斯蒂芬·罗奇：重塑世界上两个最大的经济体,美媒：中国地位超美国甘愿买美债的权宜婚姻到尽头
ZH-000566-REFERENCE-SYSTEM-PG,美媒：中国地位超美国甘愿买美债的权宜婚姻到尽头,斯蒂芬·罗奇：重塑世界上两个最大的经济体
ZH-000566-SYSTEM-REFERENCE-BERT,斯蒂芬·罗奇：重塑世界上两个最大的经济体,美媒：中国地位超美国甘愿买美债的权宜婚姻到尽头
ZH-000566-REFERENCE-SYSTEM-BERT,美媒：中国地位超美国甘愿买美债的权宜婚姻到尽头,斯蒂芬·罗奇：重塑世界上两个最大的经济体
ZH-000512-SYSTEM-REFERENCE-PG,10大理由：开发能快速生钱的商业模式,十条建议为初创公司自主运营保驾护航
ZH-000512-REFERENCE-SYSTEM-PG,十条建议为初创公司自主运营保驾护航,10大理由：开发能快速生钱的商业模式
ZH-000512-SYSTEM-REFERENCE-BERT,创业公司如何避免10大错误,十条建议为初创公司自主运营保驾护航
ZH-000512-REFERENCE-SYSTEM-BERT,十条建议为初创公司自主运营保驾护航,创业公司如何避免10大错误
ZH-000516-SYSTEM-REFERENCE-PG,林彪经不起老泪写信给中南局负责人恢复,林彪“走后门”：亲哥霸占人妻却逃脱制裁
ZH-000516-REFERENCE-SYSTEM-PG,林彪“走后门”：亲哥霸占人妻却逃脱制裁,林彪经不起老泪写信给中南局负责人恢复
ZH-000516-SYSTEM-REFERENCE-BERT,林彪父亲向邓子恢求情：看林庆佛为什么要枪毙,林彪“走后门”：亲哥霸占人妻却逃脱制裁
ZH-000516-REFERENCE-SYSTEM-BERT,林彪“走后门”：亲哥霸占人妻却逃脱制裁,林彪父亲向邓子恢求情：看林庆佛为什么要枪毙
ZH-000329-SYSTEM-REFERENCE-PG,淘宝将对基金公司统一征收0.3%服务费,淘宝开征进场费货币基金纷纷离场
ZH-000329-REFERENCE-SYSTEM-PG,淘宝开征进场费货币基金纷纷离场,淘宝将对基金公司统一征收0.3%服务费
ZH-000329-SYSTEM-REFERENCE-BERT,淘宝将对基金征收0.3%服务费,淘宝开征进场费货币基金纷纷离场
ZH-000329-REFERENCE-SYSTEM-BERT,淘宝开征进场费货币基金纷纷离场,淘宝将对基金征收0.3%服务费
ZH-000533-SYSTEM-REFERENCE-PG,蒂森克虏伯同样60亿欧元债务做斗争,钢铁行业不景气蒂森克虏伯也要“不务正业”
ZH-000533-REFERENCE-SYSTEM-PG,钢铁行业不景气蒂森克虏伯也要“不务正业”,蒂森克虏伯同样60亿欧元债务做斗争
ZH-000533-SYSTEM-REFERENCE-BERT,蒂森克虏伯宣称将进行重大重组,钢铁行业不景气蒂森克虏伯也要“不务正业”
ZH-000533-REFERENCE-SYSTEM-BERT,钢铁行业不景气蒂森克虏伯也要“不务正业”,蒂森克虏伯宣称将进行重大重组
ZH-000164-SYSTEM-REFERENCE-PG,10月份私人、私人、私企客车额度投标拍卖,沪牌本月投放增量但价格或走高
ZH-000164-REFERENCE-SYSTEM-PG,沪牌本月投放增量但价格或走高,10月份私人、私人、私企客车额度投标拍卖
ZH-000164-SYSTEM-REFERENCE-BERT,10月沪牌价格或将走高,沪牌本月投放增量但价格或走高
ZH-000164-REFERENCE-SYSTEM-BERT,沪牌本月投放增量但价格或走高,10月沪牌价格或将走高
ZH-000290-SYSTEM-REFERENCE-PG,人民日报：中非互利合作之路会越走越宽,新华网评：好日子要和非洲兄弟一起过
ZH-000290-REFERENCE-SYSTEM-PG,新华网评：好日子要和非洲兄弟一起过,人民日报：中非互利合作之路会越走越宽
ZH-000290-SYSTEM-REFERENCE-BERT,中非互利合作之路越走越宽,新华网评：好日子要和非洲兄弟一起过
