id,text1,text2
ES-1462-TRAP-SAME,"mc era una de las medidas estrella del antiguo gobierno municipal.
la manifestación en defensa de la zona de bajas emisiones representa el primer pulso ciudadano contra las decisiones del conservador martínez-almeida",la manifestación en defensa de la zona de bajas emisiones representa el primer pulso ciudadano contra las decisiones del conservador martínez-almeida
ES-1592-TRAP-SAME,"apenas unos días después de que el tribunal supremo describiera a franco como jefe del estado desde 1936, la armh se ha hecho con el dominio de internet para tratar de utilizar el sitio web como lugar de concienciación sobre los crímenes del franquismo. “
el objetivo es tratar de concienciar sobre los crímenes del franquismo",el objetivo es tratar de concienciar sobre los crímenes del franquismo
ES-6250-TRAP-SAME,"el grace 1, rebautizado ahora como adrian darya 1, ha cambiado su anterior pabellón panameño por el iraní.
el buque, que ha permanecido retenido desde julio en gibraltar, se dirige a grecia","el buque, que ha permanecido retenido desde julio en gibraltar, se dirige a grecia"
ES-2284-TRAP-SAME,"bruno mazodier de collectif inside estos casos no representan, de forma alguna, la totalidad de las prácticas transformadoras que se desarrollan en comunidades alrededor del mundo, pero son ejemplos de que otro mundo es posible y que ya está ocurriendo.
hoy se publica una galería global con 33 utopías urbanas de 24 países que demuestran que otro mundo es posible",hoy se publica una galería global con 33 utopías urbanas de 24 países que demuestran que otro mundo es posible
ES-4827-TRAP-SAME,"es el quinto más agridulce de mi carrera"", confesó el madrileño, de nuevo a gran nivel en hockenheim, donde también brilló en la calificación.
el circuito de hungaroring acoge la última carrera de la primera parte del campeonato de f1 antes de que empiecen tres meses de descanso.
este es el calendario de la competición","el circuito de hungaroring acoge la última carrera de la primera parte del campeonato de f1 antes de que empiecen tres meses de descanso.
este es el calendario de la competición"
ES-3146-TRAP-SAME,"los anuncios de catástrofes sin cuento o el rasgarse las vestiduras en la plaza pública, merman la credibilidad de las empresas encargadas de prestar servicios esenciales a la ciudadanía.
gasistas y eléctricas deben resolver el problema retributivo mediante la negociación, no en la plaza pública","gasistas y eléctricas deben resolver el problema retributivo mediante la negociación, no en la plaza pública"
ES-13312-TRAP-SAME,"7.
naturaleza, castillos, museos, mozart... la villa austriaca ha sido escogida por lonely planet como el destino urbano más interesante para visitar este 2020","naturaleza, castillos, museos, mozart... la villa austriaca ha sido escogida por lonely planet como el destino urbano más interesante para visitar este 2020"
ES-11074-TRAP-SAME,"la cuadratura del círculo.
a telemadrid no se le exige que sea un boyante negocio, sino que informe con neutralidad y pluralidad","a telemadrid no se le exige que sea un boyante negocio, sino que informe con neutralidad y pluralidad"
ES-11575-TRAP-SAME,"📲inscríbete y participa en la campaña"", dice la nueva formación sobre una foto de errejón.
la formación alegará ante la junta electoral central que puede hacer publicidad en la red social antes del inicio de campaña.
más país y vox también han empezado a promocionar sus mensajes antes de lo permitido","la formación alegará ante la junta electoral central que puede hacer publicidad en la red social antes del inicio de campaña.
más país y vox también han empezado a promocionar sus mensajes antes de lo permitido"
ES-13032-TRAP-SAME,"durante las negociaciones con agentes policiales, el hombre se ha lanzado al vacío.
la mujer, de 25 años, está grave aunque fuera de peligro.
el agresor, de 26, se lanzó al vacío desde una grúa tras atacarla","la mujer, de 25 años, está grave aunque fuera de peligro.
el agresor, de 26, se lanzó al vacío desde una grúa tras atacarla"
ES-11769-TRAP-SAME,"el zumo? “
el más relevante español creador de anuncios del siglo xx demuestra que la propaganda está en todas partes",el más relevante español creador de anuncios del siglo xx demuestra que la propaganda está en todas partes
ES-6826-TRAP-SAME,"su madre era la candidata del psoe en pelayos y me propuso que me presentara con ella como independiente.
mario cuéllar trabaja como meteorólogo en londres y desarrolla a distancia su labor política en pelayos de la presa",mario cuéllar trabaja como meteorólogo en londres y desarrolla a distancia su labor política en pelayos de la presa
ES-12054-TRAP-SAME,"ampliar foto la actriz lori loughlin y su marido, mossimo giannulli, en abril, en boston.
la actriz de ‘padres forzosos’, implicada en el caso de sobornos en universidades de estados unidos, es acusada ahora de conspiración para cometer sobornos federales mientras su matrimonio se tambalea","la actriz de ‘padres forzosos’, implicada en el caso de sobornos en universidades de estados unidos, es acusada ahora de conspiración para cometer sobornos federales mientras su matrimonio se tambalea"
ES-6349-TRAP-SAME,"la vicepresidenta está mal informada.
el responsable de open arms contesta a la vicepresidenta carmen calvo: “nos piden ahora que hagamos lo que nos prohibieron: transportar pasaje”",el responsable de open arms contesta a la vicepresidenta carmen calvo: “nos piden ahora que hagamos lo que nos prohibieron: transportar pasaje”
ES-11550-TRAP-SAME,"nunca escucho un nombre, ni nada, cuando estoy en algún lugar… sigo siendo una niña confundida y cansada… significas mucho para mí.
una subasta saca a la luz 65 misivas de la actriz dirigidas a la guionista austrohúngara salka viertel, su amiga y confidente durante 40 años: “sigo siendo un niño confundido y cansado… significas mucho para mí”","una subasta saca a la luz 65 misivas de la actriz dirigidas a la guionista austrohúngara salka viertel, su amiga y confidente durante 40 años: “sigo siendo un niño confundido y cansado… significas mucho para mí”"
ES-151-TRAP-SAME,"no estaría de más que antes de sacudirse la culpa, la sintieran.
a algunos compañeros de verónica no les funcionaron los sentimientos correctores de la crueldad.
no estaría de más que antes de sacudirse la culpa, la sintieran","a algunos compañeros de verónica no les funcionaron los sentimientos correctores de la crueldad.
no estaría de más que antes de sacudirse la culpa, la sintieran"
ES-2134-TRAP-SAME,"la acción duró pocos minutos.
los jóvenes de la izquierda independentista denuncian un modelo ""que enriquece a pocos y precariza a muchas""","los jóvenes de la izquierda independentista denuncian un modelo ""que enriquece a pocos y precariza a muchas"""
ES-13641-TRAP-SAME,"los inversores no han digerido bien la noticia.
costa de marfil y ghana, los dos mayores productores mundiales de cacao, toman medidas para frenar la caída del precio","costa de marfil y ghana, los dos mayores productores mundiales de cacao, toman medidas para frenar la caída del precio"
ES-9185-TRAP-SAME,"el individuo utiliza un portal de anuncios para ofrecer trabajos de limpieza y así contactar a posibles víctimas.
los hechos ocurrieron los pasados días 12 y 16 de septiembre en dos localidades de barcelona",los hechos ocurrieron los pasados días 12 y 16 de septiembre en dos localidades de barcelona
ES-12165-TRAP-SAME,"aquí, el gobierno del psoe está fallando.
la clave en un frenazo económico es tener un diagnóstico realista y aprobar medidas urgentes que tengan impacto positivo en las expectativas de empresarios y familias para que vuelvan a invertir.
aquí, el gobierno del psoe está fallando","la clave en un frenazo económico es tener un diagnóstico realista y aprobar medidas urgentes que tengan impacto positivo en las expectativas de empresarios y familias para que vuelvan a invertir.
aquí, el gobierno del psoe está fallando"
