id,text1,text2
FR-13916-TRAP-SAME,"on est dans un milieu rural, les gens sont très touchés par cette histoire », témoigne fabrice lejeune.
le film sur un agriculteur poussé au suicide a été vu par 1,3 million de personnes, surtout dans les villes qui épousent la géographie agricole et rurale.","le film sur un agriculteur poussé au suicide a été vu par 1,3 million de personnes, surtout dans les villes qui épousent la géographie agricole et rurale."
FR-14322-TRAP-SAME,"un élu est pourtant bien placé pour savoir ce que disent la loi et le règlement du conseil où il siège.
depuis l’incident créé par un élu rn au conseil régional de bourgogne-franche-comté, des discours honteux assimilant les femmes voilées aux criminels islamistes se multiplient.
un collectif de responsables associatifs féministes s’indigne dans une tribune au « monde ».","depuis l’incident créé par un élu rn au conseil régional de bourgogne-franche-comté, des discours honteux assimilant les femmes voilées aux criminels islamistes se multiplient.
un collectif de responsables associatifs féministes s’indigne dans une tribune au « monde »."
FR-6236-TRAP-SAME,"alors pourquoi sont-ce aujourd’hui eux qu’on retrouve au cœur des tensions dans cette zone stratégique qu’est le détroit d’ormuz ?
nés après la révolution islamique, rivalisant aujourd’hui de puissance avec l’armée régulière iranienne, ils sont cœur des tensions actuelles dans le détroit d’ormuz.","nés après la révolution islamique, rivalisant aujourd’hui de puissance avec l’armée régulière iranienne, ils sont cœur des tensions actuelles dans le détroit d’ormuz."
FR-5239-TRAP-SAME,"l’amende est élevée, car de nombreux ­éléments indiquent une volonté délibérée de contourner la loi française pour imposer aux four­nisseurs des baisses de prix sans contrepartie. »
le numéro un français de la grande distribution est accusé de contourner la loi et d’imposer des baisses de tarifs à ses fournisseurs.",le numéro un français de la grande distribution est accusé de contourner la loi et d’imposer des baisses de tarifs à ses fournisseurs.
FR-11808-TRAP-SAME,"il a fallu que je m’adapte, que j’accompagne la pièce.
a l’occasion du prix liliane bettencourt pour l’intelligence de la main, le céramiste claude aïello évoque sa collaboration avec mathieu lehanneur.
baptisée « l’âge du monde », cette œuvre leur a valu le premier prix de la catégorie dialogues en 2010.","a l’occasion du prix liliane bettencourt pour l’intelligence de la main, le céramiste claude aïello évoque sa collaboration avec mathieu lehanneur.
baptisée « l’âge du monde », cette œuvre leur a valu le premier prix de la catégorie dialogues en 2010."
FR-7238-TRAP-SAME,"c’est l’engagement fondamental de ma vie.
féministes ! (
1/6).
alors que les femmes sont de plus en plus nombreuses à s’engager dans ce combat à travers la planète, « le monde » est allé à la rencontre de six d’entre elles.
en commençant par l’actrice britannique, qui appelle à une « révolution » dans les relations entre les sexes.","féministes ! (
1/6).
alors que les femmes sont de plus en plus nombreuses à s’engager dans ce combat à travers la planète, « le monde » est allé à la rencontre de six d’entre elles.
en commençant par l’actrice britannique, qui appelle à une « révolution » dans les relations entre les sexes."
FR-11817-TRAP-SAME,"fils d’un médecin, giya kancheli naît le 10 août 1935 à tbilissi.
représentant d’un courant musical dit de la « nouvelle simplicité » à contre-courant de la création contemporaine, le musicien est mort le 2 octobre, à l’âge de 84 ans.","représentant d’un courant musical dit de la « nouvelle simplicité » à contre-courant de la création contemporaine, le musicien est mort le 2 octobre, à l’âge de 84 ans."
FR-14485-TRAP-SAME,"il tenait ainsi à distance une conception de la laïcité qui exclurait les différentes propositions religieuses françaises.
pour l’anthropologue, dans une tribune au « monde », tout l’enjeu de promouvoir aujourd’hui la laïcité est d’éviter l’écueil d’un raidissement qui conduirait à l’appauvrissement de son sens.","pour l’anthropologue, dans une tribune au « monde », tout l’enjeu de promouvoir aujourd’hui la laïcité est d’éviter l’écueil d’un raidissement qui conduirait à l’appauvrissement de son sens."
FR-2911-TRAP-SAME,"mais le projet de texte multiplie les exceptions.
dans le cadre de la loi énergie-climat, l’exécutif s’est opposé à la volonté de certains députés d’accélérer la rénovation des logements les plus consommateurs d’énergie.","dans le cadre de la loi énergie-climat, l’exécutif s’est opposé à la volonté de certains députés d’accélérer la rénovation des logements les plus consommateurs d’énergie."
FR-13374-TRAP-SAME,"dans un tel esprit, les « fab labs » et les « hackerspaces » constituent un fer de lance qui a déjà fait ses preuves.
les sociologues isabelle berrebi-hoffmann, marie-christine bureau et michel lallement décrivent, dans une tribune au « monde », les nouveaux modes de production partagée et en circuit court qui émergent dans les villes.","les sociologues isabelle berrebi-hoffmann, marie-christine bureau et michel lallement décrivent, dans une tribune au « monde », les nouveaux modes de production partagée et en circuit court qui émergent dans les villes."
