id,text1,text2
TR-3047-TRAP-SAME,"ebola nerede ortaya çıktı?
suudi̇ arabi̇stan'ın hac döneminde, ebola salgınıyla mücadele eden kongo demokratik cumhuriyeti'nden (kdc) geleceklere vize vermeyi durduğu açıklandı.","suudi̇ arabi̇stan'ın hac döneminde, ebola salgınıyla mücadele eden kongo demokratik cumhuriyeti'nden (kdc) geleceklere vize vermeyi durduğu açıklandı."
TR-10426-TRAP-SAME,"zeytin dalı harekatı'nda yaralanan bir askerimiz şehit oldu zeytin dalı harekatı bölgesinde yer alan bir üs bölgesine teröristler tarafından yapılan havan saldırısında yaralanan asker, şehit oldu.
mardi̇n 'in derik ilçesi ve zeytin dalı harekat bölgesinden son dakika şehit haberleri geldi.
mardin kırsalında terör örgütü pkk'ya yönelik operasyonda 1 asker şehit oldu, 3 terörist etkisiz hale getirildi.
suriye'de ise çatışmada yaralanan bir asker şehit oldu.","mardi̇n 'in derik ilçesi ve zeytin dalı harekat bölgesinden son dakika şehit haberleri geldi.
mardin kırsalında terör örgütü pkk'ya yönelik operasyonda 1 asker şehit oldu, 3 terörist etkisiz hale getirildi.
suriye'de ise çatışmada yaralanan bir asker şehit oldu."
TR-913-TRAP-SAME,"görüntülerde kontrolden çıkan araç park halindeki araca çarpıyor, ardından havada takla atarak kaldırıma uçuyor.
üsküdar’da seyir halindeyken kontrolden çıkan araç park halindeki araca hızla çarptı, ardından takla atarak kaldırıma uçtu.
kaldırımda yürüyen vatandaşlar, üzerlerine gelen araçtan son anda kurtularak ölümden döndü.
aksiyon filmlerini aratmayan kaza anları güvenlik kamerasına anbean yansıdı.","üsküdar’da seyir halindeyken kontrolden çıkan araç park halindeki araca hızla çarptı, ardından takla atarak kaldırıma uçtu.
kaldırımda yürüyen vatandaşlar, üzerlerine gelen araçtan son anda kurtularak ölümden döndü.
aksiyon filmlerini aratmayan kaza anları güvenlik kamerasına anbean yansıdı."
TR-9039-TRAP-SAME,"sınırda cumhuriyet bayramı'nın nasıl geçti?""
fox tv'deki çalar saat programında, i̇smail küçükkaya'nın cumhuriyet bayramı sorusunu yanıtlayan fox muhabiri öznur aslan gözyaşlarına hakim olamadı.","fox tv'deki çalar saat programında, i̇smail küçükkaya'nın cumhuriyet bayramı sorusunu yanıtlayan fox muhabiri öznur aslan gözyaşlarına hakim olamadı."
TR-346-TRAP-SAME,"savaşı başlatan taraf savaşı bitiren taraf olmayacaktır.""
i̇ran dışişleri bakanı muhammed cevad zarif, abd'nin i̇ran'a karşı savaş başlatması halinde savaşı bitiren taraf olamayacağı ve savaşın kısa sürmeyeceği uyarısı yaptı.","i̇ran dışişleri bakanı muhammed cevad zarif, abd'nin i̇ran'a karşı savaş başlatması halinde savaşı bitiren taraf olamayacağı ve savaşın kısa sürmeyeceği uyarısı yaptı."
TR-7535-TRAP-SAME,"başakşehir cephesi, lehlerine faul ve kırmızı kart beklerken hakem suat arslanboğa, guldbransen'in faul yaptığına hükmetti.
beşiktaş'ın sahasında medipol başakşehir'le 1-1 berabere kaldığı maçta tartışmalı kararlar veren hakem suat arslanboğa, spor yorumcuları tarafından yerden yere vuruldu.","beşiktaş'ın sahasında medipol başakşehir'le 1-1 berabere kaldığı maçta tartışmalı kararlar veren hakem suat arslanboğa, spor yorumcuları tarafından yerden yere vuruldu."
TR-4347-TRAP-SAME,"duyacağım tek endişe demokrasi adına olur kendi adıma zerre kadar endişe duymam.
di̇yarbakir'da çeşitli temaslarda bulunmak üzere giden i̇bb başkanı ekrem i̇mamoğlu, ""i̇stanbul'a kayyum atanır mı?""
sorusuna, ""kendi adıma zerre kadar endişe duymam.
ben demokrasi adına endişe duyuyorum"" yanıtını verdi.","di̇yarbakir'da çeşitli temaslarda bulunmak üzere giden i̇bb başkanı ekrem i̇mamoğlu, ""i̇stanbul'a kayyum atanır mı?""
sorusuna, ""kendi adıma zerre kadar endişe duymam.
ben demokrasi adına endişe duyuyorum"" yanıtını verdi."
TR-1476-TRAP-SAME,"dedi.
bursaspor kulübü olağanüstü genel kurulu'nda başkanlığa mesut mestan ve yönetimi seçildi.
mestan konuşmasında “dört kez aday oldum ve kimsenin adamı olmadım.
eğer öyle olsaydı 4 seçimi de kaybetmezdim.
eğer birisinin adamı olacaksam sizlerin adamı olurum.
bursaspor'un bana ihtiyacı olduğunu gördüm.""
dedi.","bursaspor kulübü olağanüstü genel kurulu'nda başkanlığa mesut mestan ve yönetimi seçildi.
mestan konuşmasında “dört kez aday oldum ve kimsenin adamı olmadım.
eğer öyle olsaydı 4 seçimi de kaybetmezdim.
eğer birisinin adamı olacaksam sizlerin adamı olurum.
bursaspor'un bana ihtiyacı olduğunu gördüm.""
dedi."
TR-1143-TRAP-SAME,"bu kadrolar ile daha fazla siyaset yapmanın mümkün olmadığını gördüğümden ak parti de siyaseti bırakma kararı aldım... ""haksızlıkları içimize atmaktan bıktık artık"" siyaset insana sorumluluk yükler.
i̇zmi̇r güzelbahçe belediye başkan adayı ve eski i̇lçe başkanı cem kavur, ""bu kadrolar ile daha fazla siyaset yapmanın mümkün olmadığını gördüğümden ak parti de siyaseti bırakma kararı aldım"" diyerek görevinden ayrıldı.","i̇zmi̇r güzelbahçe belediye başkan adayı ve eski i̇lçe başkanı cem kavur, ""bu kadrolar ile daha fazla siyaset yapmanın mümkün olmadığını gördüğümden ak parti de siyaseti bırakma kararı aldım"" diyerek görevinden ayrıldı."
TR-12484-TRAP-SAME,"çocuğu pikabın altında kaldı baran p, pikabın altında kaldı.
mersi̇n'de, babasının geri manevra yaptığı pikabın altında kalan 7 yaşındaki talihsiz çocuk, feci şekilde hayatını kaybetti","mersi̇n'de, babasının geri manevra yaptığı pikabın altında kalan 7 yaşındaki talihsiz çocuk, feci şekilde hayatını kaybetti"
TR-2575-TRAP-SAME,"her şey normal akışına dönmüştür.
bursa şehir hastanesi'nde bir ofisin tavanındaki su akıntısının, pis su borularındaki tıkanmadan kaynaklandığı ve sorunun giderildiği bildirildi.","bursa şehir hastanesi'nde bir ofisin tavanındaki su akıntısının, pis su borularındaki tıkanmadan kaynaklandığı ve sorunun giderildiği bildirildi."
TR-10488-TRAP-SAME,"tüfekten çıkan saçmalar ve bıçakla yaralanan y.t. ve m.r. ile aralarında kadın ve çocukların da bulunduğu 6 yaralı, ambulanslarla çeşitli hastanelere kaldırılarak tedavi altına alındı.
konya'da iki grup arasında çıkan tüfekli, bıçaklı kavgada aralarında kadın ve çocukların da bulunduğu 6 kişi yaralandı.","konya'da iki grup arasında çıkan tüfekli, bıçaklı kavgada aralarında kadın ve çocukların da bulunduğu 6 kişi yaralandı."
TR-8293-TRAP-SAME,"o an kimseden yardım isteyemeyen kadın, bir süre sonra hayatını kaybetti.
rusya’da 6 yaşındaki bir çocuk evde kalp krizi nedeniyle hayatını kaybeden annesinin cesediyle tam 5 gün boyunca yaşadı.",rusya’da 6 yaşındaki bir çocuk evde kalp krizi nedeniyle hayatını kaybeden annesinin cesediyle tam 5 gün boyunca yaşadı.
TR-8905-TRAP-SAME,"cumhuriyet bayramı etkinlikleriyle ilgili skandal paylaşımlar yaptı.
gazeteci zafer arapkirli sosyal medya hesabından i̇stanbul'da kutlanan 96.
cumhuriyet bayramı etkinlikleriyle ilgili skandal paylaşımlar yaptı.
arapkirli etkinliği i̇stanbul'un düşman işgalinden kurtuluşu olarak niteledi.
sosyal medyada kin ve nefret kusan arapkirli'ye tepkiler çığ gibi...","gazeteci zafer arapkirli sosyal medya hesabından i̇stanbul'da kutlanan 96.
cumhuriyet bayramı etkinlikleriyle ilgili skandal paylaşımlar yaptı.
arapkirli etkinliği i̇stanbul'un düşman işgalinden kurtuluşu olarak niteledi.
sosyal medyada kin ve nefret kusan arapkirli'ye tepkiler çığ gibi..."
TR-6434-TRAP-SAME,"değerlendirmesinde bulundu.
i̇nşaatı devam eden i̇stanbul havalimanı'nın üçüncü pisti için çalışmalar aralıksız sürüyor.
pistin 2020 yılında hizmete sunulması planlanıyor.","i̇nşaatı devam eden i̇stanbul havalimanı'nın üçüncü pisti için çalışmalar aralıksız sürüyor.
pistin 2020 yılında hizmete sunulması planlanıyor."
TR-6338-TRAP-SAME,"cenazelerde gülmen gibi şeyler bunlar)""""
sosyal medya hesabından ""bir daha böylesi gelemeyecek, değerini bilin"" diyerek cumhurbaşkanı recep tayyip erdoğan'a övgüler yağdıran tuğba ekinci, alkollü fotoğraf paylaşan cem yılmaz'a ateş püskürdü.","sosyal medya hesabından ""bir daha böylesi gelemeyecek, değerini bilin"" diyerek cumhurbaşkanı recep tayyip erdoğan'a övgüler yağdıran tuğba ekinci, alkollü fotoğraf paylaşan cem yılmaz'a ateş püskürdü."
TR-4321-TRAP-SAME,"dorian kasırgası ham petrol fiyatlarını olumsuz etkiledi petrol sondaj kulesi sayısındaki düşüşe rağmen, abd'nin florida eyaletini vurması beklenen dorian kasırgası ham petrol fiyatlarını olumsuz etkiledi.
abd'nin petrol endüstrisinin görünümü ve kısa dönem ham petrol üretimi hakkında gösterge kabul edilen petrol sondaj kulesi sayısı bu hafta 12 adet azaldı.",abd'nin petrol endüstrisinin görünümü ve kısa dönem ham petrol üretimi hakkında gösterge kabul edilen petrol sondaj kulesi sayısı bu hafta 12 adet azaldı.
TR-6948-TRAP-SAME,"erdoğan baier’ın en fazla tutuklu gazetecinin türkiye'de olduğunu söylemesi üzerine ""siz şu anda yargı mensubu gibi konuşuyorsunuz"" diyerek tepki gösterdi.
cumhurbaşkanı recep tayyip erdoğan, abd'de yayın yapan fox news kanalında bret baier’ın sorularını yanıtladı.
erdoğan baier’ın en fazla tutuklu gazetecinin türkiye'de olduğunu söylemesi üzerine ""siz şu anda yargı mensubu gibi konuşuyorsunuz"" diyerek tepki gösterdi.","cumhurbaşkanı recep tayyip erdoğan, abd'de yayın yapan fox news kanalında bret baier’ın sorularını yanıtladı.
erdoğan baier’ın en fazla tutuklu gazetecinin türkiye'de olduğunu söylemesi üzerine ""siz şu anda yargı mensubu gibi konuşuyorsunuz"" diyerek tepki gösterdi."
TR-12136-TRAP-SAME,"dakikasında fenerbahçe kalesine golünü atan umut bulut, sarı-lacivertlilere karşı 11.
i̇stikbal mobilya kayserispor'un kaptanı umut bulut, fenerbahçe kalesine 11.
golünü attı.","i̇stikbal mobilya kayserispor'un kaptanı umut bulut, fenerbahçe kalesine 11.
golünü attı."
TR-5130-TRAP-SAME,"11 eylül’den çok önce bölgeyi dengesizleştirdik.
abd’de yaşayan 'youngturks' tv programının içerik üreticilerinden olan hasan piker’in sosyal medyada 11 eylül saldırılarına dair yaptığı paylaşım, abd medyasında tepki çekti.
piker, canlı yayında ""abd 11 eylül'ü hak etti"" dedi.","abd’de yaşayan 'youngturks' tv programının içerik üreticilerinden olan hasan piker’in sosyal medyada 11 eylül saldırılarına dair yaptığı paylaşım, abd medyasında tepki çekti.
piker, canlı yayında ""abd 11 eylül'ü hak etti"" dedi."
TR-2261-TRAP-SAME,"diye konuştu.
enerji ve tabii kaynaklar bakanı fatih dönmez, borun kullanım alanlarında önemli adımlar atmaya devam ettiklerini belirterek, ""bu ve benzeri hamlelerle borda üretici rolümüzü, teknoloji geliştiren lider ülke rolüne doğru evireceğiz.""
dedi.","enerji ve tabii kaynaklar bakanı fatih dönmez, borun kullanım alanlarında önemli adımlar atmaya devam ettiklerini belirterek, ""bu ve benzeri hamlelerle borda üretici rolümüzü, teknoloji geliştiren lider ülke rolüne doğru evireceğiz.""
dedi."
TR-4926-TRAP-SAME,"yani cuma günü çalışanlar resmi tatil yapacak.
şanlı türk tarihinin en önemli günlerinden biri olan 30 ağustos zafer bayramı ne zaman, hangi güne denk geliyor araştırmaları başladı.
2019 yılının resmi günlerinden biri olan 30 ağustos cuma gününe denk geliyor.
yani cuma günü resmi tatil olacak.
hafta sonu ile birlikte 30 ağustos zafer bayramı 3 gün tatil olacak.","şanlı türk tarihinin en önemli günlerinden biri olan 30 ağustos zafer bayramı ne zaman, hangi güne denk geliyor araştırmaları başladı.
2019 yılının resmi günlerinden biri olan 30 ağustos cuma gününe denk geliyor.
yani cuma günü resmi tatil olacak.
hafta sonu ile birlikte 30 ağustos zafer bayramı 3 gün tatil olacak."
TR-12714-TRAP-SAME,"sezon 7.
i̇çişleri bakanı süleyman soylu'nun tepki gösterdiği çukur dizisi 74.
yeni bölüm (3.
sezon 7.
bölüm) fragmanı yayınlandı.","i̇çişleri bakanı süleyman soylu'nun tepki gösterdiği çukur dizisi 74.
yeni bölüm (3.
sezon 7.
bölüm) fragmanı yayınlandı."
TR-6113-TRAP-SAME,"bir oyuncu, daha 3 yıllık garanti sözleşmesi varken tüm alacaklarından %40 oranında vazgeçerek indirime gitmek istediğini yönetime iletiyor.
babasının hastalığı sonrası futbola konsantre olmakta zorlanan alper potuk'un, kendi isteği doğrultusunda maaşında %40 oranında indirime gidildi.","babasının hastalığı sonrası futbola konsantre olmakta zorlanan alper potuk'un, kendi isteği doğrultusunda maaşında %40 oranında indirime gidildi."
