id,text1,text2
DE-2731-TRAP-SAME,"mit dieser praxis werde das markenrecht von ortlieb verletzt, urteilte der bgh.
nach einer klage des taschenhändlers ortlieb darf der online-versandhändler amazon in der suchmaschine google nicht länger mit bekannten markennamen auf konkurrenzangebote locken.",nach einer klage des taschenhändlers ortlieb darf der online-versandhändler amazon in der suchmaschine google nicht länger mit bekannten markennamen auf konkurrenzangebote locken.
DE-5726-TRAP-SAME,"vielleicht auch, weil er derzeit lieber ""minecraft"" spielt als menschen zu beleidigen.
besser könnte die woche für den berühmtesten youtuber pewdiepie nicht laufen.
vielleicht auch, weil er derzeit lieber ""minecraft"" spielt als menschen zu beleidigen.","besser könnte die woche für den berühmtesten youtuber pewdiepie nicht laufen.
vielleicht auch, weil er derzeit lieber ""minecraft"" spielt als menschen zu beleidigen."
DE-2110-TRAP-SAME,"was ist von ihm zu erwarten?
boris johnson ist neuer chef der tories und wird am mittwoch auch britischer premier.
was ist von ihm zu erwarten?","boris johnson ist neuer chef der tories und wird am mittwoch auch britischer premier.
was ist von ihm zu erwarten?"
DE-10362-TRAP-SAME,"umso größer ist jetzt die freude.
seit august hatten die isartaler kein spiel mehr gewonnen - und dann gelingt der elf von spielertrainer benede ausgerechnet beim comeback von mike hutterer gegen wasserburg eine überraschung.",seit august hatten die isartaler kein spiel mehr gewonnen - und dann gelingt der elf von spielertrainer benede ausgerechnet beim comeback von mike hutterer gegen wasserburg eine überraschung.
DE-2285-TRAP-SAME,"dabei gäbe es lösungen für das problem - wenn auch keine einfachen.
mehr als 820 millionen menschen weltweit haben nicht genug zu essen, die zahl ist zuletzt wieder gestiegen.
dabei gäbe es lösungen für das problem - wenn auch keine einfachen.","mehr als 820 millionen menschen weltweit haben nicht genug zu essen, die zahl ist zuletzt wieder gestiegen.
dabei gäbe es lösungen für das problem - wenn auch keine einfachen."
DE-2677-TRAP-SAME,"es war eine software für unternehmen, eine art sap also für kleine und mittlere firmen.
manfred tropper betrieb schon mit 16 eine kleine webagentur.
jetzt unterstützt er firmen bei der digitalisierung.
aber auf eine ungewöhnliche art und weise.","manfred tropper betrieb schon mit 16 eine kleine webagentur.
jetzt unterstützt er firmen bei der digitalisierung.
aber auf eine ungewöhnliche art und weise."
DE-193-TRAP-SAME,"ausgebaut werden sollten der nahverkehr mit bussen und bahnen und das bundesweite bahn-angebot.
der cdu-bundesvorstand berät über ein neues verkehrskonzept, das aber niemanden bevormunden will - schon gar nicht in der frage, mit welchem antrieb autos künftig fahren sollen.","der cdu-bundesvorstand berät über ein neues verkehrskonzept, das aber niemanden bevormunden will - schon gar nicht in der frage, mit welchem antrieb autos künftig fahren sollen."
DE-3786-TRAP-SAME,"andere anbieter wie thetis oder nitro sind abgeschlagen.
hardware-schlüssel wie der yubikey können helfen, online-konten gegen heimtückisches phishing zu schützen.
der sz-test zeigt aber: privatnutzer müssen dafür auf etwas komfort verzichten.","hardware-schlüssel wie der yubikey können helfen, online-konten gegen heimtückisches phishing zu schützen.
der sz-test zeigt aber: privatnutzer müssen dafür auf etwas komfort verzichten."
DE-320-TRAP-SAME,"mieten dürfen für fünf jahre nicht erhöht werden"", verkündete berlins senatorin für stadtentwicklung, katrin lompscher (linke).
die regierung beschließt eckpunkte für einen gesetzentwurf, der mieterhöhungen für fünf jahre verbieten würde.
es wäre ein einmaliger vorgang in deutschland.","die regierung beschließt eckpunkte für einen gesetzentwurf, der mieterhöhungen für fünf jahre verbieten würde.
es wäre ein einmaliger vorgang in deutschland."
DE-7299-TRAP-SAME,"für die gebürtige schongauerin von der hsg regensburg sind die olympischen spiele ""das höchste, was du als sportler erreichen kannst.""
monika karsch von der hsg regensburg möchte nach silber 2016 auch bei olympia 2020 eine medaille gewinnen - und bei der em in bologna ihren titel verteidigen.",monika karsch von der hsg regensburg möchte nach silber 2016 auch bei olympia 2020 eine medaille gewinnen - und bei der em in bologna ihren titel verteidigen.
DE-4962-TRAP-SAME,"ganz falsch ist das nicht.
alleinerziehende sind häufig arm - das liegt nicht nur daran, dass sie allein sind, fand das kölner iw heraus.","alleinerziehende sind häufig arm - das liegt nicht nur daran, dass sie allein sind, fand das kölner iw heraus."
DE-4953-TRAP-SAME,"von diesem zeitpunkt an sei die regelung mit ""dem grundgesetz nicht mehr vereinbar.""
von 2021 an soll der solidaritätszuschlag entfallen, aber nicht ganz.
die mittelschicht soll profitieren, spitzenverdiener nicht.
hat das vor gericht überhaupt bestand?","von 2021 an soll der solidaritätszuschlag entfallen, aber nicht ganz.
die mittelschicht soll profitieren, spitzenverdiener nicht.
hat das vor gericht überhaupt bestand?"
DE-10412-TRAP-SAME,"schwierige voraussetzungen sind das für münchens wasserballer, deren ziel es ist, unter die top drei der liga zu kommen.
das ziel der sg stadtwerke münchen ist klar: der erstliga-aufstieg.
mit der rückkehr ins olympiabad stimmen für die wasserballer nun auch die rahmenbedingungen.","das ziel der sg stadtwerke münchen ist klar: der erstliga-aufstieg.
mit der rückkehr ins olympiabad stimmen für die wasserballer nun auch die rahmenbedingungen."
DE-10438-TRAP-SAME,"später?
stephan lichtsteiner über sein image als connaisseur des dreckigen spiels, seine ruhmreiche karriere in italien und england, die motivation für seinen wechsel zum fc augsburg im sommer - und die herausforderung, sich auf fußball im abstiegskampf einzustellen.","stephan lichtsteiner über sein image als connaisseur des dreckigen spiels, seine ruhmreiche karriere in italien und england, die motivation für seinen wechsel zum fc augsburg im sommer - und die herausforderung, sich auf fußball im abstiegskampf einzustellen."
DE-5922-TRAP-SAME,"aber an der drehscheibe und mit gussformen lässt sich auch porzellan verarbeiten.
inspiriert von chinesischer handwerkskunst und billigdesign aus dem asia-shop, fertigt laura straßer ganz besondere keramikschalen.","inspiriert von chinesischer handwerkskunst und billigdesign aus dem asia-shop, fertigt laura straßer ganz besondere keramikschalen."
DE-10056-TRAP-SAME,"eines jedoch empfiehlt sich bei dieser neubesinnung ganz und gar nicht, auch wenn dies verstärkt geschieht: das freie wirtschaften grundsätzlich in frage zu stellen.
die alte wachstumsdefinition reicht nicht mehr.
die umwelt muss zählen.
eines darf jedoch bei der neubesinnung nicht infrage gestellt werden: das freie wirtschaften.","die alte wachstumsdefinition reicht nicht mehr.
die umwelt muss zählen.
eines darf jedoch bei der neubesinnung nicht infrage gestellt werden: das freie wirtschaften."
DE-3044-TRAP-SAME,"aber die intervention des sprechers hatte wohl auch damit zu tun, dass man krüger schützen wollte.
aufsichtsrat und eigner des münchner automobilbauers schätzten harald krügers ruhige art.
doch in jüngster zeit war ihnen ihr vorstandschef wohl doch zu still.","aufsichtsrat und eigner des münchner automobilbauers schätzten harald krügers ruhige art.
doch in jüngster zeit war ihnen ihr vorstandschef wohl doch zu still."
DE-5865-TRAP-SAME,"im januar dieses jahres wurden 81 oldtimer versteigert, die in frankreich in einer lagerhalle entdeckt wurden.
immer wieder tauchen seltene auto-klassiker auf, die anscheinend von ihren besitzern vergessen wurden.
so wie dieser lamborghini miura, der in den vergangenen jahrzehnten kaum seine garage verlassen hat.","immer wieder tauchen seltene auto-klassiker auf, die anscheinend von ihren besitzern vergessen wurden.
so wie dieser lamborghini miura, der in den vergangenen jahrzehnten kaum seine garage verlassen hat."
DE-151-TRAP-SAME,"die strafmaßnahmen sollten dazu dienen, den obersten führer, sein büro und enge vertraute vom internationalen finanzsystem abzuschneiden, fügte der us-präsident hinzu.
präsident donald trump will ayatollah ali chamenei und dessen vertraute vom internationalen finanzsystem abschneiden.",präsident donald trump will ayatollah ali chamenei und dessen vertraute vom internationalen finanzsystem abschneiden.
DE-8274-TRAP-SAME,"diese position wurde in luxemburg verschärft.
zunächst zögern die eu-staaten, dann aber einigen sie sich darauf, keine waffenlieferungen an die türkei mehr zu genehmigen - auch auf drängen der bundesregierung.","zunächst zögern die eu-staaten, dann aber einigen sie sich darauf, keine waffenlieferungen an die türkei mehr zu genehmigen - auch auf drängen der bundesregierung."
DE-3585-TRAP-SAME,"vor fast 30 jahren hat die sport- und französischlehrerin in gilching mit einer neigungsgruppe das jonglieren begonnen.
im wahlfach bewegungskünste am gilchinger christoph-probst-gymnasium fließen seit fast 30 jahren sport und soziales ineinander.",im wahlfach bewegungskünste am gilchinger christoph-probst-gymnasium fließen seit fast 30 jahren sport und soziales ineinander.
DE-2345-TRAP-SAME,"aber niemand will ihm rote linien aufzeigen, etwa wenn es um das schüren von ressentiments gegen fremde geht.
der rechte ""flügel"" lähmt die afd. aber niemand zieht rote linien.","der rechte ""flügel"" lähmt die afd. aber niemand zieht rote linien."
DE-4709-TRAP-SAME,"bei altmaier verstärkte das den drang, sich und seine politik ständig zu rechtfertigen, womit er sich selbst noch mehr in die defensive rückte.
deutsche mittelständler sind sauer auf den wirtschaftsminister, fühlen sich vernachlässigt.
jetzt versucht er, sie mit einer neuen strategie und gut gelaunten besuchen zu besänftigen.","deutsche mittelständler sind sauer auf den wirtschaftsminister, fühlen sich vernachlässigt.
jetzt versucht er, sie mit einer neuen strategie und gut gelaunten besuchen zu besänftigen."
DE-9793-TRAP-SAME,"brandner hatte in den jahren zuvor als abgeordneter im thüringer landtag zahlreiche ordnungsrufe für entgleisungen kassiert.
der rechtsausschuss des bundestags will den afd-politiker stephan brandner abwählen.",der rechtsausschuss des bundestags will den afd-politiker stephan brandner abwählen.
DE-7851-TRAP-SAME,"die gruppe der wütendenden zeichnet ein geschlossen nationales weltbild aus"", sagt laura-kristine krause, eine der autorinnen der studie. ""
nach dem wahlerfolg der afd richtet sich der fokus auf junge wähler.
doch eine bessere erklärung könnte ein sozial­psycho­logischer ansatz liefern.","nach dem wahlerfolg der afd richtet sich der fokus auf junge wähler.
doch eine bessere erklärung könnte ein sozial­psycho­logischer ansatz liefern."
DE-3424-TRAP-SAME,"bei ""und nun zum sport"" geht es diesmal um tradition und moderne, um investment und 50+1 - um das gefühl in giesing und das gefühl eines geschäftsmannes aus jordanien, der zwar gerne ""einmal löwe, immer löwe"" sagt, aber kaum greifbar ist.
bei 1860 münchen spielt das chaos immer mit.
was ist da los?","bei 1860 münchen spielt das chaos immer mit.
was ist da los?"
DE-140-TRAP-SAME,"konkrete finanzielle zusagen für die förderung beim aufbau dieser größenordnung bleibt die bundesregierung jedoch weiter schuldig.
kein konzept für eine klimafreundliche mobilität, keine transparenz beim maut-debakel: der verkehrsminister flüchtet sich in einen juristischen streit mit österreich.","kein konzept für eine klimafreundliche mobilität, keine transparenz beim maut-debakel: der verkehrsminister flüchtet sich in einen juristischen streit mit österreich."
DE-7980-TRAP-SAME,"zuvor hatte strache bei facebook den parteiausschluss seiner ehefrau philippa kritisiert.
die neue parteispitze kanzelt kritik ihres ex-chefs heinz-christian strache vielsagend ab.
dessen ehefrau und neue abgeordnete philippa räumt derweil einen fehler ein.","die neue parteispitze kanzelt kritik ihres ex-chefs heinz-christian strache vielsagend ab.
dessen ehefrau und neue abgeordnete philippa räumt derweil einen fehler ein."
DE-2057-TRAP-SAME,"was denn?
fdp-chef christian lindner über den verlauf einer china-reise seiner partei, die mit einem eklat endete.","fdp-chef christian lindner über den verlauf einer china-reise seiner partei, die mit einem eklat endete."
DE-44-TRAP-SAME,"der kongressabgeordnete eric swalwell hat gerade versucht, joe biden bloßzustellen.
es ist senatorin kamala harris, die in der zweiten runde der demokratischen tv-debatte alle vor sich her treibt.
vor allem mit angriffen gegen joe biden.
der kann sich kaum wehren.","es ist senatorin kamala harris, die in der zweiten runde der demokratischen tv-debatte alle vor sich her treibt.
vor allem mit angriffen gegen joe biden.
der kann sich kaum wehren."
DE-10276_8549-TRAP-DIFFERENT,"vier männer sollen mindestens sechs eigene kinder missbraucht haben, das jüngste war nicht einmal ein jahr alt.","manche geldinstitute haben in der vergangenheit zu wenig zinsen auf sparguthaben gezahlt.
die kunden können mit nachzahlungen rechnen."
DE-6925_8165-TRAP-DIFFERENT,"tierhaltung, verbranntes essen, zigarettenrauch: gestank im haus kann nachbarn zu schaffen machen.
nicht alles muss aber hingenommen werden.","weil sich die eu-staaten nicht auf den start von beitrittsverhandlungen mit nordmazedonien und albanien einigen können, appelliert eu-ratschef tusk an die länder."
DE-6508_4883-TRAP-DIFFERENT,"norbert f. pötzl erzählt die geschichte der treuhand.
er rät bei aller wut vieler ostdeutscher: auf die fakten schauen.","ein junger münchner unternehmer will günstige pedelecs verkaufen - und findet einen prominenten unterstützer.
der sorgt für die nötige aufmerksamkeit bei zweiradfans."
DE-2299_6037-TRAP-DIFFERENT,"die scheidende verteidigungsministerin erklärt in zwei briefen ihr regierungsprogramm als eu-kommissionspräsidentin.
die wichtigsten punkte im überblick.",die mitschrift des gesprächs zwischen dem us-präsidenten und seinem ukrainischen kollegen bestätigt: donald trump bat um ermittlungen gegen den sohn seines demokratischen rivalen joe biden.
DE-1300_4860-TRAP-DIFFERENT,"marija lassizkene ist die beste hochspringerin der welt - und muss nach wie vor unter neutraler flagge starten.
obwohl sie bei der armee ist, kritisiert sie das russische system hart.","die regelung verletzt weder eigentums- noch gleichheitsrechte, hat das bundesverfassungsgericht entschieden."
