id,text1,text2
ES-3559-SYSTEM-REFERENCE-PG,"viñeta de el roto del 16 de junio de 2018 - el <unk> , que se ha hecho de la historia , se ha convertido en un acto para que los <unk> <unk> <unk> <unk>",viñeta de el roto del 20 de julio de 2019
ES-3559-REFERENCE-SYSTEM-PG,viñeta de el roto del 20 de julio de 2019,"viñeta de el roto del 16 de junio de 2018 - el <unk> , que se ha hecho de la historia , se ha convertido en un acto para que los <unk> <unk> <unk> <unk>"
ES-3559-SYSTEM-REFERENCE-BERT,viñeta de el roto del 7 de noviembre de 2017,viñeta de el roto del 20 de julio de 2019
ES-3559-REFERENCE-SYSTEM-BERT,viñeta de el roto del 20 de julio de 2019,viñeta de el roto del 7 de noviembre de 2017
ES-992-SYSTEM-REFERENCE-PG,"el colegio de arquitectos de catalunya ( coac ) , el mejor colaborador del archifamoso arquitecto con el que trabajó en edificios como la pedrera , la casa batlló y la sagrada familia , sigue produciéndose",el coac dedica una muestra con 60 de sus dibujos en los que se ve la evolución de la casa planells
ES-992-REFERENCE-SYSTEM-PG,el coac dedica una muestra con 60 de sus dibujos en los que se ve la evolución de la casa planells,"el colegio de arquitectos de catalunya ( coac ) , el mejor colaborador del archifamoso arquitecto con el que trabajó en edificios como la pedrera , la casa batlló y la sagrada familia , sigue produciéndose"
ES-992-SYSTEM-REFERENCE-BERT,"el coac dedica una exposición a josep maria jujol , autor de una obra arquitectónica que ha quedado eclipsada y casi anulada por el de reus",el coac dedica una muestra con 60 de sus dibujos en los que se ve la evolución de la casa planells
ES-992-REFERENCE-SYSTEM-BERT,el coac dedica una muestra con 60 de sus dibujos en los que se ve la evolución de la casa planells,"el coac dedica una exposición a josep maria jujol , autor de una obra arquitectónica que ha quedado eclipsada y casi anulada por el de reus"
ES-10149-SYSTEM-REFERENCE-PG,"el líder de morena propuso que la empresa pública se llame cannsalud y , según el proyecto , estará encargada de comprar la marihuana a los productores y vendérsela a los dueños de las franquicias para que estos hagan lo mismo de cara al público","morena plantea la creación de cannsalud, una empresa pública que controlará la producción y distribución a particulares o farmacéuticas."
ES-10149-REFERENCE-SYSTEM-PG,"morena plantea la creación de cannsalud, una empresa pública que controlará la producción y distribución a particulares o farmacéuticas.","el líder de morena propuso que la empresa pública se llame cannsalud y , según el proyecto , estará encargada de comprar la marihuana a los productores y vendérsela a los dueños de las franquicias para que estos hagan lo mismo de cara al público"
ES-10149-SYSTEM-REFERENCE-BERT,la cámara de diputados propone una empresa estatal dedicada a la compra y venta de marihuana,"morena plantea la creación de cannsalud, una empresa pública que controlará la producción y distribución a particulares o farmacéuticas."
