id,text1,text2
RU-506-SYSTEM-REFERENCE-PG,"в лиге чемпионов шансы « зенита » выглядят предпочтительнее , чем у « железнодорожников » , ведь у питерцев не такие грозные соперники по группе . «
зенит » — опытная команда , постоянно играющая в еврокубках .
да , матчи в любом случае предстоят непростые , но все в руках самих сине-бело-голубых . «
локомотиву » намного сложнее , ведь соперники достались высочайшего класса .
","экс-защитник «локомотива» и сборной россии о рпл, старте еврокубкового сезона и работе на тв"
RU-506-REFERENCE-SYSTEM-PG,"экс-защитник «локомотива» и сборной россии о рпл, старте еврокубкового сезона и работе на тв","в лиге чемпионов шансы « зенита » выглядят предпочтительнее , чем у « железнодорожников » , ведь у питерцев не такие грозные соперники по группе . «
зенит » — опытная команда , постоянно играющая в еврокубках .
да , матчи в любом случае предстоят непростые , но все в руках самих сине-бело-голубых . «
локомотиву » намного сложнее , ведь соперники достались высочайшего класса .
"
RU-506-SYSTEM-REFERENCE-BERT,« краснодар » и цска в прошлом сезоне обыграл « реал » дважды,"экс-защитник «локомотива» и сборной россии о рпл, старте еврокубкового сезона и работе на тв"
RU-506-REFERENCE-SYSTEM-BERT,"экс-защитник «локомотива» и сборной россии о рпл, старте еврокубкового сезона и работе на тв",« краснодар » и цска в прошлом сезоне обыграл « реал » дважды
RU-409-SYSTEM-REFERENCE-PG,"по сообщениям иихф , отсчет дисквалификации начинается с 13 июня 2019 года и продлится до 12 июня 2023 года включительно .
таким образом , кузнецов не поможет сборной россии на олимпийских играх 2022 года в пекине , а также на всех чемпионатах мира , включая домашний , который пройдет в мае 2023 года в санкт-петербурге .
предыстория этой дисквалификации такова .
","евгений получил четыре года, но на нхл отстранение не распространяется"
RU-409-REFERENCE-SYSTEM-PG,"евгений получил четыре года, но на нхл отстранение не распространяется","по сообщениям иихф , отсчет дисквалификации начинается с 13 июня 2019 года и продлится до 12 июня 2023 года включительно .
таким образом , кузнецов не поможет сборной россии на олимпийских играх 2022 года в пекине , а также на всех чемпионатах мира , включая домашний , который пройдет в мае 2023 года в санкт-петербурге .
предыстория этой дисквалификации такова .
"
RU-409-SYSTEM-REFERENCE-BERT,накануне чемпионата мира по хоккею россиянин евгений кузнецов был дисквалифицирован за нарушение антидопинговых правил,"евгений получил четыре года, но на нхл отстранение не распространяется"
RU-409-REFERENCE-SYSTEM-BERT,"евгений получил четыре года, но на нхл отстранение не распространяется",накануне чемпионата мира по хоккею россиянин евгений кузнецов был дисквалифицирован за нарушение антидопинговых правил
RU-115-SYSTEM-REFERENCE-PG,"у нас молодая талантливая сборная .
я думаю , у неё в лучшем смысле слова всё впереди . -
теперь давайте осторожно перейдём к прогнозам .
если говорить насчёт соперников на предварительном этапе — согласны , что у нас самая сложная группа на евробаскете ? -
да , не скрою – группа не подарок .
нам выпало биться с хозяйками ( само по себе непросто ) , с командой бельгии ( она третья в мире ) и со сборной беларуси , с которой мы традиционно неудачно играли до этого .
впрочем , надеюсь , что в этот раз мы всё-таки","президент российской федерации баскетбола считает, что команда может взять медали на чемпионате европы"
RU-115-REFERENCE-SYSTEM-PG,"президент российской федерации баскетбола считает, что команда может взять медали на чемпионате европы","у нас молодая талантливая сборная .
я думаю , у неё в лучшем смысле слова всё впереди . -
теперь давайте осторожно перейдём к прогнозам .
если говорить насчёт соперников на предварительном этапе — согласны , что у нас самая сложная группа на евробаскете ? -
да , не скрою – группа не подарок .
нам выпало биться с хозяйками ( само по себе непросто ) , с командой бельгии ( она третья в мире ) и со сборной беларуси , с которой мы традиционно неудачно играли до этого .
впрочем , надеюсь , что в этот раз мы всё-таки"
RU-115-SYSTEM-REFERENCE-BERT,"главный тренер сборной россии андрей геннадьев рассказал « мк » , почему у нас был отечественный специалист","президент российской федерации баскетбола считает, что команда может взять медали на чемпионате европы"
RU-115-REFERENCE-SYSTEM-BERT,"президент российской федерации баскетбола считает, что команда может взять медали на чемпионате европы","главный тренер сборной россии андрей геннадьев рассказал « мк » , почему у нас был отечественный специалист"
RU-548-SYSTEM-REFERENCE-PG,"москва и раньше предлагала киеву .
но украина не соглашалась « пойти на мировую » : с 2014 года , при поддержке брюсселя и вашингтона , украинское правительство целенаправленно пыталось накалить отношения , в том числе грозило странам старого света будущей энергетической зависимостью от российского топлива , настаивало на альтернативных способах доставки углеводородов в евросоюз и любыми способами пыталось остановить новых маршрутов поставки российских энергоресурсов в европу .
",в обмен на него украине придется расстаться с $3 млрд
RU-548-REFERENCE-SYSTEM-PG,в обмен на него украине придется расстаться с $3 млрд,"москва и раньше предлагала киеву .
но украина не соглашалась « пойти на мировую » : с 2014 года , при поддержке брюсселя и вашингтона , украинское правительство целенаправленно пыталось накалить отношения , в том числе грозило странам старого света будущей энергетической зависимостью от российского топлива , настаивало на альтернативных способах доставки углеводородов в евросоюз и любыми способами пыталось остановить новых маршрутов поставки российских энергоресурсов в европу .
"
RU-548-SYSTEM-REFERENCE-BERT,с 1 января 2020 года транзит российского топлива через украину продолжится,в обмен на него украине придется расстаться с $3 млрд
RU-548-REFERENCE-SYSTEM-BERT,в обмен на него украине придется расстаться с $3 млрд,с 1 января 2020 года транзит российского топлива через украину продолжится
RU-337-SYSTEM-REFERENCE-PG,"призывам не уничтожать еду .
зачем пропадать добру , если его можно направлять в приюты для бездомных , детдома , хосписы или просто раздавать бедным ?
для экологии это тоже вредно : закопанные в землю продукты гниют , там заводятся бактерии , которые портят почву .
в конце концов в нашей стране еще живы блокадники ленинграда — из уважения к ним постыдились бы уничтожать пищу .
",в погоне за непонятными принципами власть вновь забыла о народе
RU-337-REFERENCE-SYSTEM-PG,в погоне за непонятными принципами власть вновь забыла о народе,"призывам не уничтожать еду .
зачем пропадать добру , если его можно направлять в приюты для бездомных , детдома , хосписы или просто раздавать бедным ?
для экологии это тоже вредно : закопанные в землю продукты гниют , там заводятся бактерии , которые портят почву .
в конце концов в нашей стране еще живы блокадники ленинграда — из уважения к ним постыдились бы уничтожать пищу .
"
RU-337-SYSTEM-REFERENCE-BERT,"столичные чиновники отчитались , что за пять лет эмбарго было уничтожено более 21 тыс .
тонны съестного",в погоне за непонятными принципами власть вновь забыла о народе
RU-337-REFERENCE-SYSTEM-BERT,в погоне за непонятными принципами власть вновь забыла о народе,"столичные чиновники отчитались , что за пять лет эмбарго было уничтожено более 21 тыс .
тонны съестного"
RU-714-SYSTEM-REFERENCE-PG,"с россией у музыканта особенно нежные отношения .
он всегда любил приезжать сюда со своими шоу , встречался с русской красавицей , снимал на патриарших прудах клип на композицию с первого альбома « scorpio rising » .
ее он потом даже записал в новой версии для фильма « параграф 78 » с ильей лагутенко .
",короли брит-попа слепили из него новый стиль и вернулись в любимую страну
RU-714-REFERENCE-SYSTEM-PG,короли брит-попа слепили из него новый стиль и вернулись в любимую страну,"с россией у музыканта особенно нежные отношения .
он всегда любил приезжать сюда со своими шоу , встречался с русской красавицей , снимал на патриарших прудах клип на композицию с первого альбома « scorpio rising » .
ее он потом даже записал в новой версии для фильма « параграф 78 » с ильей лагутенко .
"
RU-714-SYSTEM-REFERENCE-BERT,поклонники группы suede заявили о себе как о весьма эпатажной группе,короли брит-попа слепили из него новый стиль и вернулись в любимую страну
RU-714-REFERENCE-SYSTEM-BERT,короли брит-попа слепили из него новый стиль и вернулись в любимую страну,поклонники группы suede заявили о себе как о весьма эпатажной группе
RU-651-SYSTEM-REFERENCE-PG,"— первый выезд кареты « скорой помощи » к больному состоялся 15 октября 1919 года , ровно 100 лет назад .
к пострадавшему с переломом нижней конечности выехал врач леонид григорьевич овосапов , — рассказал николай филиппович .
",первый вызов поступил в 2019 году от пациента с переломом ноги
RU-651-REFERENCE-SYSTEM-PG,первый вызов поступил в 2019 году от пациента с переломом ноги,"— первый выезд кареты « скорой помощи » к больному состоялся 15 октября 1919 года , ровно 100 лет назад .
к пострадавшему с переломом нижней конечности выехал врач леонид григорьевич овосапов , — рассказал николай филиппович .
"
RU-651-SYSTEM-REFERENCE-BERT,"николай овосапов рассказал « мк » , почему врачи « скорой помощи » к больному в москве",первый вызов поступил в 2019 году от пациента с переломом ноги
RU-651-REFERENCE-SYSTEM-BERT,первый вызов поступил в 2019 году от пациента с переломом ноги,"николай овосапов рассказал « мк » , почему врачи « скорой помощи » к больному в москве"
RU-1-SYSTEM-REFERENCE-PG,"на прошлой неделе тема провалившегося ханойского саммита вновь всплыла в сообщении северокорейского информагентства цтак .
в нем говорилось следующее ( цитируем ) : « как мы уже заявили , главная причина срыва саммита глав кндр и сша в ханое заключается в том , что сша , настаивая на совершенно неосуществимых методах , заняли одностороннюю и недружественную позицию .
",южнокорейские сми: наказание последовало за провалом саммита трампа и ким чен ына
RU-1-REFERENCE-SYSTEM-PG,южнокорейские сми: наказание последовало за провалом саммита трампа и ким чен ына,"на прошлой неделе тема провалившегося ханойского саммита вновь всплыла в сообщении северокорейского информагентства цтак .
в нем говорилось следующее ( цитируем ) : « как мы уже заявили , главная причина срыва саммита глав кндр и сша в ханое заключается в том , что сша , настаивая на совершенно неосуществимых методах , заняли одностороннюю и недружественную позицию .
"
RU-1-SYSTEM-REFERENCE-BERT,пока сша не отложили нынешнего правила между лидерами не подошли к нам с новым правилом счета во вьетнамской столлице,южнокорейские сми: наказание последовало за провалом саммита трампа и ким чен ына
RU-1-REFERENCE-SYSTEM-BERT,южнокорейские сми: наказание последовало за провалом саммита трампа и ким чен ына,пока сша не отложили нынешнего правила между лидерами не подошли к нам с новым правилом счета во вьетнамской столлице
RU-275-SYSTEM-REFERENCE-PG,"спрос на натуральные продукты растет с каждым годом .
эксперты утверждают , что все больше людей стали выбирать продукты для семьи , ориентируясь не только на их полезность как таковую ( так поступают примерно 50 % россиян ) , но они стали уделять также особое внимание тому , где были выращены фрукты и овощи , чем кормили животных , какие добавки входят в тот или иной продукт .
",в волоколамском городском округе открыли новое производство экологичных фермерских продуктов
RU-275-REFERENCE-SYSTEM-PG,в волоколамском городском округе открыли новое производство экологичных фермерских продуктов,"спрос на натуральные продукты растет с каждым годом .
эксперты утверждают , что все больше людей стали выбирать продукты для семьи , ориентируясь не только на их полезность как таковую ( так поступают примерно 50 % россиян ) , но они стали уделять также особое внимание тому , где были выращены фрукты и овощи , чем кормили животных , какие добавки входят в тот или иной продукт .
"
RU-275-SYSTEM-REFERENCE-BERT,власти подумали : почему бы нам не наладить производство органической продукции [unk] благо ниша на российском рынке пока свободна,в волоколамском городском округе открыли новое производство экологичных фермерских продуктов
RU-275-REFERENCE-SYSTEM-BERT,в волоколамском городском округе открыли новое производство экологичных фермерских продуктов,власти подумали : почему бы нам не наладить производство органической продукции [unk] благо ниша на российском рынке пока свободна
RU-616-SYSTEM-REFERENCE-PG,"забвению , многие части « годовщины революции » оказались в хорошем состоянии , не истрепались на кинопоказах .
однако потребовались десятилетия , чтобы обнаружить в ргали , в фонде маяковского описание картины , ее афишу , по которой уже и восстанавливался фильм .
",картина была восстановлена историком кино николаем изволовым по случайно найденным в архиве документам
RU-616-REFERENCE-SYSTEM-PG,картина была восстановлена историком кино николаем изволовым по случайно найденным в архиве документам,"забвению , многие части « годовщины революции » оказались в хорошем состоянии , не истрепались на кинопоказах .
однако потребовались десятилетия , чтобы обнаружить в ргали , в фонде маяковского описание картины , ее афишу , по которой уже и восстанавливался фильм .
"
RU-616-SYSTEM-REFERENCE-BERT,"фильм « годовщины революции » , снятый на острове под казанью , был снят на острове",картина была восстановлена историком кино николаем изволовым по случайно найденным в архиве документам
RU-616-REFERENCE-SYSTEM-BERT,картина была восстановлена историком кино николаем изволовым по случайно найденным в архиве документам,"фильм « годовщины революции » , снятый на острове под казанью , был снят на острове"
RU-42-SYSTEM-REFERENCE-PG,"обвиняемые , несмотря волнительный момент , пришли в приподнятом настроении и , кажется , вообще не переживали из-за сроков , которые им должны были огласить в ближайшее время ( как выяснилось позже , не зря ) .
несмотря на аномальную жару и маленький зал для 14 подсудимых и примерно такого же количества их адвокатов , участники процесса демонстрировали завидную выдержку .
",суд назначил бывшему руководителю региона 11 лет строгого режима и штраф
RU-42-REFERENCE-SYSTEM-PG,суд назначил бывшему руководителю региона 11 лет строгого режима и штраф,"обвиняемые , несмотря волнительный момент , пришли в приподнятом настроении и , кажется , вообще не переживали из-за сроков , которые им должны были огласить в ближайшее время ( как выяснилось позже , не зря ) .
несмотря на аномальную жару и маленький зал для 14 подсудимых и примерно такого же количества их адвокатов , участники процесса демонстрировали завидную выдержку .
"
RU-42-SYSTEM-REFERENCE-BERT,"на приговоре по делу льва либензона обвиняемого в организации преступного сообщества , обвиняют в « отмывании денежных средств »",суд назначил бывшему руководителю региона 11 лет строгого режима и штраф
RU-42-REFERENCE-SYSTEM-BERT,суд назначил бывшему руководителю региона 11 лет строгого режима и штраф,"на приговоре по делу льва либензона обвиняемого в организации преступного сообщества , обвиняют в « отмывании денежных средств »"
RU-140-SYSTEM-REFERENCE-PG,"публичный политический процесс в россии идет сейчас на трех уровнях .
в самом низу — текущая дискуссия в сми и социальных сетях .
выше — на среднем уровне — выборы .
вещь эта более судьбоносная , однако сенсации там редки , власть пока более-менее эффективно контролирует административный ресурс и обычно побеждает .
","политика — это не благотворительность, а выбор стратегии развития страны"
RU-140-REFERENCE-SYSTEM-PG,"политика — это не благотворительность, а выбор стратегии развития страны","публичный политический процесс в россии идет сейчас на трех уровнях .
в самом низу — текущая дискуссия в сми и социальных сетях .
выше — на среднем уровне — выборы .
вещь эта более судьбоносная , однако сенсации там редки , власть пока более-менее эффективно контролирует административный ресурс и обычно побеждает .
"
RU-140-SYSTEM-REFERENCE-BERT,поиск политической природы повседневных проблем сейчас отвечает потребностям избирателя,"политика — это не благотворительность, а выбор стратегии развития страны"
RU-140-REFERENCE-SYSTEM-BERT,"политика — это не благотворительность, а выбор стратегии развития страны",поиск политической природы повседневных проблем сейчас отвечает потребностям избирателя
